"previous_month","previous_month_number","current_month","current_month_number","churn_rate"
"Jan",1,"Feb",2,"91.1516314779270633"
"Feb",2,"Mar",3,"89.5889670091941590"
"Mar",3,"Apr",4,"65.1791907514450867"
"Apr",4,"May",5,"66.8576278378951835"
"May",5,"No Returning Customers",6,"100.0000000000000000"
"Jun",6,"Jul",7,"2.8037383177570093"
"Jul",7,"Aug",8,"4.5871559633027523"
"Aug",8,"Sep",9,"0.92592592592592592593"
"Sep",9,"No Returning Customers",10,"100.0000000000000000"
"Oct",10,"No Returning Customers",11,"100.0000000000000000"
"Nov",11,"Dec",12,"4.6728971962616822"
"Dec",12,"No Returning Customers",13,"100.0000000000000000"
